,Month,Annual prob.,Shape,Scale,Location,Return period: 1 [years],Return period: 10 [years],Return period: 100 [years],Return period: 10000 [years]
0,-,%,-,m,m,m,m,m,m
1,Jan,8.33,1.542,2.864,0.84,9.52,11.72,13.7,17.24
2,Feb,8.33,1.608,2.756,0.6,8.5,10.44,12.17,15.23
3,Mar,8.33,1.547,2.431,0.66,8.0,9.85,11.52,14.49
4,Apr,8.33,1.217,1.56,0.68,7.01,9.12,11.12,14.89
5,May,8.33,1.247,1.236,0.56,5.43,7.0,8.48,11.26
6,Jun,8.33,1.248,1.096,0.52,4.81,6.2,7.51,9.96
7,Jul,8.33,1.219,0.952,0.52,4.39,5.67,6.88,9.17
8,Aug,8.33,1.161,0.984,0.57,4.86,6.36,7.79,10.54
9,Sept,8.33,1.226,1.536,0.7,6.87,8.9,10.83,14.46
10,Oct,8.33,1.424,2.098,0.77,7.73,9.66,11.43,14.64
11,Nov,8.33,1.544,2.469,0.8,8.25,10.14,11.85,14.89
12,Dec,8.33,1.541,2.769,0.81,9.21,11.34,13.26,16.68
13,Year,100.0,1.293,2.037,0.51,10.66,12.86,14.95,18.88
