HS-level,JAN,FEB,MAR,MAY,APR,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Year
<0.5,0.16,0.27,0.55,1.24,2.55,3.37,4.5,4.17,1.32,0.52,0.35,0.28,1.61
<1.0,2.95,4.93,6.07,15.51,25.77,31.47,37.0,33.01,14.42,6.62,4.01,3.47,15.44
<1.5,10.18,16.18,18.05,37.1,52.27,60.63,66.85,61.75,36.99,20.61,13.32,12.16,33.84
<2.0,22.44,29.75,33.28,56.46,71.95,78.33,83.95,80.12,56.52,37.77,28.18,23.6,50.2
<2.5,35.63,43.85,49.52,70.79,83.89,88.6,92.28,90.3,70.65,54.52,44.09,37.49,63.47
<3.0,48.4,56.88,62.79,81.4,90.81,94.27,96.32,94.88,80.99,67.79,58.74,51.28,73.71
<3.5,59.88,67.65,73.53,88.1,95.14,97.12,98.38,97.46,88.38,77.55,69.9,62.9,81.33
<4.0,70.04,76.41,81.75,92.49,97.58,98.62,99.24,98.82,93.19,84.89,78.71,72.43,87.01
<4.5,78.06,82.99,87.7,95.56,98.7,99.31,99.65,99.45,96.03,90.38,85.15,80.0,91.08
<5.0,84.06,88.19,91.79,97.25,99.4,99.71,99.86,99.73,97.49,94.09,89.97,85.42,93.91
<5.5,88.58,92.04,94.53,98.24,99.67,99.84,99.94,99.84,98.37,96.32,93.36,89.86,95.88
<6.0,91.88,94.74,96.5,98.8,99.8,99.97,99.98,99.88,98.99,97.75,95.74,93.04,97.26
<6.5,94.4,96.7,97.86,99.26,99.86,99.98,100.0,99.92,99.4,98.68,97.42,95.5,98.25
<7.0,96.22,98.07,98.68,99.53,99.93,99.99,100.0,99.96,99.65,99.23,98.39,97.1,98.9
<7.5,97.44,98.82,99.27,99.69,99.98,99.99,100.0,99.97,99.78,99.54,99.12,98.16,99.31
<8.0,98.37,99.35,99.6,99.8,99.99,100.0,100.0,99.99,99.87,99.69,99.47,98.83,99.58
<8.5,98.93,99.58,99.8,99.88,100.0,100.0,100.0,99.99,99.91,99.76,99.74,99.26,99.74
<9.0,99.32,99.74,99.95,99.92,100.0,100.0,100.0,100.0,99.94,99.84,99.86,99.49,99.84
<9.5,99.6,99.84,100.0,99.96,100.0,100.0,100.0,100.0,99.96,99.88,99.94,99.64,99.9
<10.0,99.78,99.93,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.92,99.95,99.79,99.95
<10.5,99.87,99.98,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.97,99.88,99.97
<11.0,99.93,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,99.99,99.99,99.91,99.98
<11.5,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,99.99,99.99,99.94,99.99
<12.0,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,100.0,99.99,99.96,99.99
<12.5,99.99,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,100.0,100.0,99.97,100.0
<13.0,99.99,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,100.0,100.0,100.0,100.0
<13.5,99.99,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
<14.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Minimum,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2
Mean,3.42,3.07,2.85,2.15,1.71,1.54,1.41,1.5,2.14,2.67,3.03,3.3,2.4
P50,3.1,2.8,2.6,1.9,1.5,1.3,1.2,1.3,1.9,2.4,2.7,3.0,2.0
P75,4.3,4.0,3.6,2.7,2.1,1.9,1.8,1.9,2.7,3.4,3.8,4.2,3.1
P95,6.7,6.1,5.7,4.4,3.5,3.2,2.9,3.1,4.3,5.2,5.9,6.4,5.3
P99,8.6,7.7,7.3,6.2,4.7,4.3,3.8,4.1,6.1,6.8,7.4,8.28,7.2
Maximum,13.9,10.8,9.5,10.0,8.4,7.8,6.4,8.7,13.4,11.8,12.4,13.0,13.9
