Direction,a1,a2,a3,b1,b2,b3
0°,1.396,0.574,0.36,0.005,0.08,0.313
30°,1.133,0.84,0.36,0.005,0.056,0.265
60°,1.189,0.776,0.36,0.005,0.01,-0.713
90°,1.112,0.83,0.36,0.005,0.055,0.136
120°,1.363,0.607,0.36,0.005,0.058,0.065
150°,1.453,0.486,0.36,0.005,0.109,0.527
180°,1.332,0.537,0.36,0.005,0.118,0.603
210°,1.369,0.533,0.36,0.005,0.221,0.695
240°,1.625,0.413,0.36,0.005,0.258,0.641
270°,1.78,0.359,0.36,0.005,0.188,0.497
300°,1.742,0.407,0.36,0.005,0.11,0.393
330°,1.548,0.519,0.36,0.005,0.085,0.394
Omni,1.522,0.483,0.36,0.005,0.121,0.389
