Direction,Sector prob.[%],Hs[m] [1 years],Tp[s] [1 years],Hs[m] [10 years],Tp[s] [10 years],Hs[m] [100 years],Tp[s] [100 years],Hs[m] [1000 years],Tp[s] [1000 years]
0°,19.45,9.13,14.57,11.17,15.49,13.15,16.59,15.1,17.61
30°,0.81,3.57,11.87,4.57,13.43,5.49,14.81,6.35,16.09
60°,0.29,3.39,10.75,4.55,11.37,5.61,10.55,6.59,7.95
90°,0.26,3.35,11.11,4.43,12.79,5.37,14.19,6.23,15.43
120°,0.48,4.21,10.75,5.53,11.95,6.73,12.97,7.87,13.91
150°,6.82,10.59,13.41,12.57,14.43,14.37,15.31,16.04,16.13
180°,14.82,10.09,13.13,11.87,14.15,13.53,15.09,15.1,15.93
210°,10.18,9.31,13.13,11.01,14.15,12.59,15.07,14.05,15.93
240°,10.11,9.75,13.09,11.61,13.93,13.35,14.67,14.99,15.35
270°,11.55,10.69,13.87,12.83,14.75,14.93,15.53,16.94,16.23
300°,9.87,10.47,14.57,12.83,15.49,14.93,16.59,16.94,17.61
330°,15.36,11.09,14.57,12.83,15.49,14.93,16.59,16.94,17.61
Omni,100.0,11.09,14.57,12.83,15.49,14.93,16.59,16.94,17.61
