,Direction sector,Sector prob.,Shape,Scale,Location,Return period: 1 [years],Return period: 10 [years],Return period: 100 [years],Return period: 10000 [years]
0,-,%,-,m/s,m/s,m/s,m/s,m/s,m/s
1,0°,19.33,2.103,0.235,-0.0,0.63,0.73,0.81,0.96
2,30°,9.99,1.958,0.176,0.01,0.63,0.73,0.81,0.93
3,60°,5.0,1.667,0.141,0.01,0.63,0.73,0.81,0.96
4,90°,3.29,1.268,0.121,0.02,0.63,0.73,0.81,0.96
5,120°,2.22,1.375,0.129,0.0,0.63,0.73,0.81,0.96
6,150°,2.21,1.37,0.112,0.01,0.63,0.73,0.81,0.96
7,180°,2.91,1.501,0.151,0.0,0.63,0.73,0.81,0.96
8,210°,4.69,1.376,0.164,0.01,0.63,0.73,0.81,0.96
9,240°,6.58,1.485,0.159,0.01,0.63,0.73,0.81,0.96
10,270°,9.44,1.632,0.145,0.03,0.63,0.73,0.81,0.96
11,300°,14.14,1.821,0.179,0.02,0.63,0.73,0.81,0.96
12,330°,20.2,2.073,0.224,0.0,0.63,0.73,0.81,0.96
13,Omni,100.0,1.775,0.189,0.01,0.63,0.73,0.81,0.96
