Month,a1,a2,a3,b1,b2,b3
Jan,1.839,0.316,0.36,0.005,0.142,0.422
Feb,1.819,0.329,0.36,0.005,0.153,0.439
Mar,1.775,0.343,0.36,0.005,0.161,0.493
Apr,1.637,0.436,0.36,0.005,0.122,0.411
May,1.524,0.462,0.36,0.005,0.13,0.552
Jun,1.591,0.39,0.36,0.005,0.138,0.771
Jul,1.461,0.46,0.36,0.005,0.116,0.72
Aug,1.509,0.442,0.36,0.005,0.128,0.717
Sept,1.55,0.455,0.36,0.005,0.117,0.454
Oct,1.605,0.447,0.36,0.005,0.125,0.421
Nov,1.779,0.348,0.36,0.005,0.124,0.413
Dec,1.79,0.352,0.36,0.005,0.141,0.422
Year,1.526,0.48,0.36,0.005,0.122,0.401
