TP_bin,bias,scatter_index,nb_val
0.25,,,0
0.75,,,0
1.25,,,0
1.75,,,0
2.25,,,0
2.75,-0.167,0.306,3
3.25,-0.175,0.286,44
3.75,-0.206,0.288,156
4.25,-0.264,0.332,661
4.75,-0.307,0.338,1179
5.25,-0.376,0.372,2104
5.75,-0.42,0.376,2984
6.25,-0.482,0.383,4009
6.75,-0.552,0.385,5043
7.25,-0.635,0.397,5091
7.75,-0.688,0.404,4832
8.25,-0.802,0.426,5412
8.75,-0.873,0.434,5496
9.25,-0.931,0.437,4941
9.75,-1.049,0.444,3597
10.25,-1.073,0.438,3902
10.75,-1.19,0.464,3203
11.25,-1.222,0.464,2808
11.75,-1.301,0.491,2153
12.25,-1.376,0.508,1705
12.75,-1.419,0.541,1514
13.25,-1.517,0.593,876
13.75,-1.528,0.573,782
14.25,-1.525,0.595,473
14.75,-1.555,0.612,363
15.25,-1.496,0.637,368
15.75,-1.46,0.687,172
16.25,-1.744,0.709,112
16.75,-1.472,0.659,103
17.25,-1.738,0.747,87
17.75,-1.471,0.751,34
18.25,-1.388,0.519,33
18.75,-1.467,0.582,21
19.25,-2.14,0.764,5
19.75,-0.8,0.295,2
20.25,-0.5,0.446,5
20.75,-0.775,0.581,4
21.25,-0.65,0.58,2
21.75,-0.8,0.889,1
