Direction,Hmax[m] [10 years],Hmax[m] [100 years],Hmax[m] [10000 years],T_Hmax(P5-model) [s] [10 years],T_Hmax(Mean-model) [s] [10 years],T_Hmax(P95-model) [s] [10 years],T_Hmax(P5-model) [s] [100 years],T_Hmax(Mean-model) [s] [100 years],T_Hmax(P95-model) [s] [100 years],T_Hmax(P5-model) [s] [10000 years],T_Hmax(Mean-model) [s] [10000 years],T_Hmax(P95-model) [s] [10000 years]
0°,21.51,25.21,32.31,10.81,13.02,15.22,11.84,13.92,16.01,13.6,15.62,17.64
30°,8.88,10.6,13.71,6.57,9.65,12.74,7.25,10.18,13.1,8.41,11.07,13.72
60°,8.92,11.03,15.36,6.55,9.64,12.73,7.34,10.24,13.15,8.64,11.24,13.85
90°,8.63,10.39,13.46,6.46,9.57,12.68,7.16,10.11,13.06,8.32,11.0,13.67
120°,10.84,13.12,17.27,7.28,10.2,13.12,8.12,10.84,13.56,9.53,11.95,14.37
150°,24.3,27.67,33.71,11.55,13.66,15.77,12.43,14.47,16.52,13.87,15.9,17.92
180°,22.98,26.08,31.73,11.19,13.34,15.49,12.02,14.1,16.17,13.42,15.44,17.47
210°,21.32,24.28,29.57,10.72,12.94,15.16,11.56,13.67,15.78,12.92,14.95,16.97
240°,22.5,25.78,31.76,11.05,13.22,15.39,11.94,14.01,16.09,13.41,15.43,17.45
270°,24.78,28.74,36.09,11.68,13.78,15.88,12.69,14.72,16.75,14.38,16.43,18.47
300°,24.71,28.62,35.89,11.68,13.78,15.88,12.69,14.72,16.75,14.38,16.43,18.47
330°,24.71,28.62,35.89,11.68,13.78,15.88,12.69,14.72,16.75,14.38,16.43,18.47
Omni,24.71,28.62,35.89,11.68,13.78,15.88,12.69,14.72,16.75,14.38,16.43,18.47
